Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,Yes,Travel_Frequently,Research & Development,16,2,Female,1,1,Research Scientist,1,Single,3919,Yes,10,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,3,Male,3,2,Sales Executive,2,Married,6825,No,10,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,1,Female,2,3,Healthcare Representative,4,Married,10248,No,24,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,2,Female,3,5,Manager,1,Single,18947,No,22,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Male,3,1,Laboratory Technician,4,Single,2496,No,7,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Male,3,2,Healthcare Representative,4,Married,6465,Yes,9,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,4,Male,2,1,Laboratory Technician,3,Single,2206,No,10,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,4,Male,3,2,Sales Representative,4,Married,2086,No,19,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,2,Male,3,1,Research Scientist,4,Married,2293,Yes,6,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,4,Female,4,1,Research Scientist,3,Divorced,2645,No,6,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,1,Male,2,1,Sales Representative,3,Married,2683,Yes,3,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,4,Female,3,1,Sales Representative,4,Married,2014,No,2,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,2,Female,2,1,Research Scientist,1,Married,3419,Yes,6,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Female,4,2,Sales Executive,1,Married,5376,No,10,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,3,Male,3,1,Laboratory Technician,4,Divorced,1951,No,1,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Female,3,1,Laboratory Technician,1,Divorced,2341,No,1,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,1,Male,1,1,Laboratory Technician,3,Single,2293,No,1,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,4,Male,3,3,Sales Executive,3,Single,8726,No,9,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,3,Female,3,2,Laboratory Technician,4,Single,4011,No,12,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,2,Female,3,5,Research Director,3,Married,19545,No,23,3,22,15,15,8
34,No,Non-Travel,Sales,23,2,Male,3,2,Sales Executive,3,Single,4568,No,10,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Male,3,1,Research Scientist,2,Married,3022,No,8,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,1,Male,3,2,Sales Executive,4,Single,5772,Yes,14,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,4,Male,4,1,Laboratory Technician,4,Married,2269,No,1,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,1,Male,2,3,Laboratory Technician,3,Single,5381,Yes,23,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,3,Male,3,1,Laboratory Technician,3,Single,3441,Yes,2,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,2,Female,3,2,Sales Executive,1,Divorced,5454,Yes,9,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,3,Male,2,3,Healthcare Representative,1,Married,9884,Yes,10,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Female,2,2,Sales Executive,4,Married,4157,Yes,5,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,1,Female,3,3,Research Director,4,Single,13458,Yes,15,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,2,Male,3,3,Sales Executive,1,Married,9069,No,9,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,3,Female,3,1,Laboratory Technician,1,Married,4014,Yes,4,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Male,3,2,Laboratory Technician,4,Divorced,5915,No,10,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,1,Male,2,2,Manufacturing Director,3,Divorced,5993,No,7,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,1,Male,3,2,Manufacturing Director,4,Married,6162,Yes,9,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,4,Female,3,2,Laboratory Technician,4,Single,2406,No,10,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Female,2,5,Research Director,3,Divorced,18740,Yes,29,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,1,Female,3,3,Sales Executive,1,Single,7637,No,28,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Female,3,3,Healthcare Representative,3,Divorced,10096,No,17,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,4,Female,3,4,Manager,3,Divorced,14756,Yes,21,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,2,Male,2,2,Manufacturing Director,2,Single,6499,No,6,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,2,Male,3,3,Research Scientist,1,Divorced,9724,No,25,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,2,Male,3,1,Research Scientist,1,Married,2194,No,5,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,4,Male,2,1,Research Scientist,3,Married,3388,Yes,2,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Female,2,2,Sales Executive,3,Single,5473,No,20,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Male,3,1,Research Scientist,2,Married,2703,No,6,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,3,Male,3,1,Research Scientist,2,Single,2501,No,1,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,2,Male,3,2,Research Scientist,2,Married,6220,No,10,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,2,Female,4,1,Laboratory Technician,4,Married,3038,No,5,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,3,Female,3,2,Manufacturing Director,4,Single,4424,No,11,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,3,Male,2,2,Sales Executive,1,Single,4312,No,16,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Male,3,3,Research Director,1,Married,13245,Yes,17,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,1,Male,3,3,Research Director,3,Single,13664,No,16,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Male,3,2,Human Resources,2,Divorced,5021,Yes,16,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,4,Male,2,2,Laboratory Technician,4,Married,5126,Yes,10,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,2,Male,2,1,Research Scientist,3,Single,2859,No,6,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,1,Male,3,3,Sales Executive,4,Married,10239,No,24,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,2,Female,1,2,Research Scientist,4,Divorced,5329,Yes,17,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,1,Male,3,2,Manufacturing Director,2,Married,4325,No,5,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,4,Male,1,3,Manufacturing Director,4,Single,7260,No,37,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,3,Male,3,1,Sales Representative,1,Divorced,2322,No,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Male,3,1,Laboratory Technician,4,Married,2075,No,10,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Male,2,2,Healthcare Representative,4,Married,4152,No,11,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,3,Male,2,3,Sales Executive,4,Single,9619,No,9,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,3,Male,2,4,Healthcare Representative,2,Married,13503,No,22,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,3,Male,3,2,Sales Executive,4,Single,5441,Yes,11,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,3,Female,2,2,Sales Executive,2,Divorced,5209,Yes,11,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Male,2,3,Healthcare Representative,1,Married,10673,Yes,21,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,2,Male,3,2,Sales Executive,3,Single,5010,No,12,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,1,Female,3,3,Research Director,3,Married,13549,No,16,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,1,Female,3,2,Sales Executive,3,Married,4999,No,4,2,3,2,0,2
28,No,Non-Travel,Sales,4,2,Male,3,2,Sales Executive,3,Married,4221,No,5,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Male,3,4,Sales Executive,3,Single,13872,No,38,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,2,Male,3,2,Laboratory Technician,2,Married,2042,No,17,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,3,Male,3,1,Human Resources,1,Divorced,2073,Yes,7,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,4,Male,3,1,Research Scientist,1,Single,2956,No,1,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,4,Female,2,1,Laboratory Technician,4,Single,2926,Yes,1,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,1,Female,3,2,Research Scientist,3,Single,4809,No,16,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,3,Male,2,2,Healthcare Representative,4,Divorced,5163,No,17,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,3,Female,2,5,Manager,4,Married,18844,No,30,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,1,Female,3,5,Research Director,2,Married,18172,Yes,28,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Male,2,2,Sales Executive,3,Single,5744,Yes,6,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,4,Male,2,1,Research Scientist,4,Married,2889,No,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,2,Female,3,1,Laboratory Technician,4,Single,2871,No,1,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,1,Female,2,3,Healthcare Representative,1,Single,7484,No,23,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,1,Male,1,2,Laboratory Technician,3,Single,6074,Yes,9,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,4,Female,4,4,Manager,4,Single,17328,Yes,23,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,2,Male,3,1,Laboratory Technician,3,Married,2774,No,6,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,3,Female,2,2,Research Scientist,2,Divorced,4505,No,12,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Male,3,3,Sales Executive,4,Single,7428,No,12,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Female,2,3,Manager,1,Single,11631,No,14,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Female,3,3,Sales Executive,4,Married,9738,No,10,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,1,Female,3,1,Laboratory Technician,4,Divorced,2835,No,7,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,3,Male,3,4,Manager,4,Married,16959,Yes,25,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,1,Male,1,1,Research Scientist,3,Divorced,2613,No,10,2,10,7,0,9
33,No,Non-Travel,Sales,22,3,Male,3,2,Sales Executive,2,Married,6146,No,8,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,2,Female,3,1,Research Scientist,2,Married,4963,Yes,7,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,1,Male,3,5,Research Director,3,Single,19537,No,23,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,2,Male,1,2,Sales Executive,3,Married,6172,Yes,12,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Female,2,1,Research Scientist,2,Married,2368,No,5,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Female,3,3,Healthcare Representative,4,Married,10312,No,40,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,4,Male,3,1,Sales Representative,3,Single,1675,Yes,0,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,3,Male,3,1,Laboratory Technician,4,Married,2523,No,3,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,3,Female,3,2,Manufacturing Director,1,Married,6567,No,16,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,2,Female,4,1,Research Scientist,3,Single,4739,No,18,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Female,3,3,Sales Executive,4,Single,9208,No,16,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,2,Female,1,2,Sales Executive,3,Married,4559,Yes,4,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,3,Male,3,3,Sales Executive,3,Divorced,8189,Yes,12,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,3,Female,3,1,Human Resources,3,Married,2942,No,8,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Male,3,2,Manufacturing Director,2,Divorced,4941,No,7,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,1,Male,1,3,Manufacturing Director,4,Single,10650,No,18,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Female,2,2,Sales Executive,3,Married,5902,No,17,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,1,Male,2,2,Sales Executive,3,Married,8639,No,6,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Male,3,2,Human Resources,4,Married,6347,Yes,12,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,1,Female,3,1,Laboratory Technician,1,Single,4200,No,10,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Male,3,1,Research Scientist,4,Single,3452,No,9,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,4,Female,3,2,Research Scientist,3,Single,4317,Yes,19,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,1,Female,3,1,Research Scientist,3,Single,2632,No,5,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,4,Male,1,2,Sales Executive,4,Divorced,4668,No,9,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,4,Female,3,1,Research Scientist,1,Divorced,3204,No,8,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,2,Male,2,1,Laboratory Technician,4,Single,2720,No,6,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,4,Male,2,4,Manager,1,Divorced,17181,No,21,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,3,Male,3,1,Laboratory Technician,1,Married,2238,No,7,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,2,Female,3,1,Laboratory Technician,2,Single,1483,No,1,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,2,Female,3,2,Research Scientist,2,Divorced,5605,No,20,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,3,Male,3,3,Sales Executive,2,Married,7295,No,10,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,2,Male,3,2,Sales Representative,3,Married,2306,Yes,13,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,2,Male,3,2,Laboratory Technician,2,Divorced,2348,No,20,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,2,Female,3,3,Sales Executive,4,Single,8998,No,9,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,4,Male,3,2,Manufacturing Director,3,Married,4319,No,10,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,2,Male,2,2,Manufacturing Director,3,Married,6132,No,10,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,2,Female,2,1,Research Scientist,2,Married,3346,Yes,9,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,3,Male,2,3,Sales Executive,4,Married,10855,No,15,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,3,Female,3,1,Sales Representative,3,Married,2231,No,6,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,3,Male,3,1,Research Scientist,4,Married,2323,No,2,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,4,Male,3,1,Research Scientist,2,Divorced,2024,No,6,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Male,3,1,Research Scientist,4,Married,2713,No,5,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,3,Male,4,3,Healthcare Representative,4,Divorced,9439,Yes,12,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,3,Male,2,1,Research Scientist,3,Divorced,2566,Yes,1,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Female,3,5,Manager,2,Single,19926,No,21,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,1,Male,3,1,Research Scientist,3,Divorced,2451,No,13,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,2,Female,3,3,Sales Executive,4,Married,9419,No,12,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,1,Female,2,2,Sales Executive,4,Single,8686,No,12,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,3,Male,3,1,Research Scientist,3,Single,3038,No,8,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,3,Male,3,1,Research Scientist,2,Married,3058,Yes,6,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,3,Female,1,1,Sales Representative,1,Single,2325,No,1,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,4,Male,3,1,Laboratory Technician,2,Single,2088,No,13,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,3,Male,3,2,Laboratory Technician,1,Divorced,3072,No,12,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,3,Female,3,2,Sales Executive,1,Divorced,5006,Yes,9,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,3,Female,3,1,Research Scientist,1,Divorced,4257,Yes,19,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Male,3,1,Research Scientist,4,Single,2500,No,4,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,2,Male,2,1,Laboratory Technician,4,Single,1102,No,1,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,2,Female,3,3,Sales Executive,1,Divorced,10453,No,24,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,3,Female,3,1,Laboratory Technician,4,Single,2288,No,2,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,3,Female,3,1,Research Scientist,4,Married,3929,Yes,7,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,4,Female,3,1,Research Scientist,2,Single,2311,No,9,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,2,Female,3,1,Sales Representative,2,Single,3140,Yes,4,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,3,Male,2,1,Laboratory Technician,3,Married,3690,No,5,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,13,4,Female,4,2,Manufacturing Director,1,Divorced,4450,No,5,3,4,2,1,3
33,No,Travel_Rarely,Research & Development,14,4,Female,3,1,Research Scientist,2,Married,2756,No,8,3,8,7,1,6
40,No,Travel_Rarely,Research & Development,4,4,Female,3,5,Manager,3,Married,19033,No,21,3,20,8,9,9
55,No,Travel_Rarely,Research & Development,14,3,Male,4,5,Research Director,2,Single,18722,No,36,3,24,15,2,15
34,No,Travel_Frequently,Research & Development,2,4,Male,2,2,Manufacturing Director,3,Married,9547,No,10,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,3,4,Female,3,4,Healthcare Representative,2,Single,13734,No,21,3,7,7,1,0
52,No,Travel_Rarely,Research & Development,1,3,Male,2,5,Manager,3,Married,19999,No,34,3,33,18,11,9
27,No,Travel_Rarely,Research & Development,9,4,Female,3,1,Research Scientist,2,Single,2279,No,7,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,2,Male,2,2,Manufacturing Director,3,Married,5916,Yes,8,3,1,0,0,1
43,No,Non-Travel,Research & Development,7,4,Male,4,1,Research Scientist,4,Divorced,2089,No,7,4,5,4,2,2
45,No,Non-Travel,Research & Development,2,1,Male,2,4,Manager,4,Married,16792,No,22,3,20,8,11,8
37,No,Travel_Rarely,Research & Development,21,2,Male,4,1,Research Scientist,1,Married,3564,Yes,8,2,8,7,1,7
35,No,Travel_Frequently,Research & Development,2,2,Female,3,2,Laboratory Technician,2,Single,4425,No,10,3,6,2,1,2
42,No,Non-Travel,Research & Development,21,3,Female,3,2,Manufacturing Director,3,Divorced,5265,No,11,3,5,3,0,2
38,No,Travel_Rarely,Research & Development,2,4,Male,3,2,Manufacturing Director,3,Married,6553,No,14,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,29,4,Male,3,2,Manufacturing Director,4,Married,6261,No,9,1,7,7,1,7
27,No,Travel_Frequently,Research & Development,1,3,Male,2,2,Manufacturing Director,1,Married,4298,No,6,3,2,2,2,0
49,No,Non-Travel,Research & Development,18,4,Male,3,2,Manufacturing Director,4,Divorced,6804,Yes,7,3,7,7,1,7
34,No,Travel_Frequently,Research & Development,10,4,Male,3,1,Research Scientist,3,Divorced,3815,Yes,5,4,5,3,2,0
40,No,Travel_Rarely,Research & Development,19,3,Male,3,2,Laboratory Technician,4,Married,2741,Yes,15,4,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,29,2,Male,3,2,Healthcare Representative,1,Married,6673,Yes,17,3,1,0,0,0
29,Yes,Travel_Rarely,Sales,27,2,Female,3,3,Sales Executive,4,Married,7639,No,10,2,10,4,1,9
22,No,Travel_Rarely,Research & Development,5,4,Male,4,1,Research Scientist,2,Divorced,2328,Yes,4,2,4,2,2,2
36,No,Travel_Frequently,Research & Development,18,2,Female,3,1,Laboratory Technician,4,Single,2153,No,8,3,8,1,1,7
40,No,Non-Travel,Research & Development,9,4,Male,2,2,Healthcare Representative,4,Married,4876,No,5,1,3,2,0,2
46,No,Travel_Rarely,Research & Development,1,4,Male,3,3,Healthcare Representative,1,Divorced,9396,No,17,3,4,2,0,3
32,Yes,Travel_Rarely,Sales,4,4,Male,1,3,Sales Executive,4,Married,10400,No,14,2,14,8,9,8
30,No,Non-Travel,Research & Development,1,3,Male,2,3,Manufacturing Director,3,Single,8474,No,12,3,11,8,5,8
27,No,Travel_Frequently,Sales,20,4,Female,3,2,Sales Executive,3,Single,9981,No,7,3,7,7,0,7
51,No,Travel_Rarely,Research & Development,8,2,Male,2,3,Research Director,2,Married,12490,No,16,1,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,3,4,Female,3,1,Research Scientist,1,Single,2657,Yes,8,3,5,2,0,4
41,No,Travel_Rarely,Sales,6,4,Female,3,3,Manager,4,Single,13591,Yes,16,3,1,0,0,0
30,Yes,Travel_Frequently,Sales,26,3,Female,2,2,Sales Executive,1,Single,6696,No,9,2,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,1,3,Male,3,1,Research Scientist,3,Single,2058,No,7,2,6,2,1,5
45,No,Non-Travel,Sales,6,4,Female,2,3,Sales Executive,4,Single,8865,No,23,3,19,7,12,8
54,No,Travel_Rarely,Sales,3,4,Female,3,2,Sales Executive,1,Married,5940,No,16,3,6,2,0,5
36,No,Travel_Rarely,Research & Development,5,4,Male,3,2,Laboratory Technician,2,Single,5914,No,16,4,13,11,3,7
33,No,Travel_Rarely,Research & Development,4,3,Female,2,1,Research Scientist,2,Married,2622,No,7,3,3,2,1,1
37,No,Travel_Frequently,Research & Development,11,2,Male,3,3,Research Director,4,Divorced,12185,Yes,10,3,10,8,0,7
38,No,Travel_Rarely,Sales,3,1,Male,3,3,Sales Executive,3,Divorced,10609,No,17,2,16,10,5,13
31,No,Non-Travel,Research & Development,1,3,Male,1,2,Manufacturing Director,3,Married,4345,No,6,3,5,4,1,4
59,No,Travel_Rarely,Research & Development,3,3,Male,2,1,Research Scientist,4,Married,2177,No,7,3,1,0,0,0
37,No,Travel_Frequently,Sales,4,1,Male,3,1,Sales Representative,4,Divorced,2793,No,13,3,9,8,5,8
